,space_group,combinations,facets,coverage,active_site,binding_site,G(OH),G(O),G(OOH),overpotential,status
0,136_rutile,Co_Ir,[001],0,0,Ir,1.24,3.5,4.92,1.03,ok
1,136_rutile,Co_Ir,[001],1,0,Co,1.84,3.81,4.8,0.74,ok
2,136_rutile,Co_Ir,[100],0,0,Ir,0.65,2,3.62,0.39,ok
3,136_rutile,Co_Ir,[100],1,0,Co,1.74,3.59,4.76,0.62,ok
4,136_rutile,Co_Ir,[101],0,0,Co,1.62,3.85,4.85,1,ok
5,136_rutile,Co_Ir,[101],0,1,Ir,0.65,2.33,3.94,0.45,ok
6,136_rutile,Co_Ir,[110],0,0,Ir,0.61,1.96,3.62,0.43,ok
7,136_rutile,Fe_Ir,[001],0,0,Ir,1.04,2.31,4.13,0.59,ok
8,136_rutile,Fe_Ir,[001],1,0,Fe,1.45,3.82,4.46,1.14,ok
9,136_rutile,Fe_Ir,[100],0,0,Ir,0.42,1.86,3.52,0.43,ok
10,136_rutile,Fe_Ir,[100],1,0,Fe,1.81,4.07,4.77,1.03,ok
11,136_rutile,Fe_Ir,[101],0,0,Ir,0.09,2.07,3.77,0.75,ok
12,136_rutile,Fe_Ir,[110],0,0,Ir,-326.73,-327.51,-322.35,326.04,weird
13,136_rutile,Pd_Ir,[001],0,0,Ir,0.83,2.46,3.84,0.4,ok
14,136_rutile,Pd_Ir,[001],1,0,Pd,1.49,3.59,4.44,0.87,ok
15,136_rutile,Pd_Ir,[100],0,0,Ir,0.48,1.95,3.68,0.5,ok
16,136_rutile,Pd_Ir,[100],1,0,Pd,1.02,3.33,182.48,177.92,weird
17,136_rutile,Pd_Ir,[101],0,0,Pd,1.08,3.39,4.34,1.08,ok
18,136_rutile,Pd_Ir,[101],0,1,Ir,0.61,2.38,3.84,0.54,ok
19,136_rutile,Pd_Ir,[110],0,0,Ir,0.58,1.94,3.52,0.35,ok
20,136_rutile,Pd_Pt,[001],0,0,Pt,0.92,3.62,4.08,1.47,ok
21,136_rutile,Pd_Pt,[001],1,0,Pd,1.37,3.69,4.34,1.09,ok
22,136_rutile,Pd_Pt,[100],0,0,Pt,0.71,2.73,4.06,0.79,ok
23,136_rutile,Pd_Pt,[100],1,0,Pd,1.15,3.36,4.14,0.98,ok
24,136_rutile,Pd_Pt,[101],0,0,Pd,1.45,3.6,166.04,161.21,weird
25,136_rutile,Pd_Pt,[101],0,1,Pt,1.08,3.1,3.98,0.79,ok
26,136_rutile,Pd_Pt,[110],0,0,Pt,0.87,2.71,3.72,0.61,ok
27,136_rutile,Rh_Ir/,[001],0,0,Ir,0.84,2.24,3.85,0.38,ok
28,136_rutile,Rh_Ir/,[001],1,0,Rh,1.02,2.8,4,0.55,ok
29,136_rutile,Rh_Ir/,[100],0,0,Ir,0.29,1.76,3.2,0.49,ok
30,136_rutile,Rh_Ir/,[100],1,0,Rh,0.7,2.57,3.78,0.64,ok
31,136_rutile,Rh_Ir/,[101],0,0,Rh,0.88,2.78,4.38,0.67,ok
32,136_rutile,Rh_Ir/,[101],0,1,Ir,0.45,2.28,3.46,0.6,ok
33,136_rutile,Rh_Ir/,[110],0,0,Ir,0.23,1.66,3.2,0.49,ok
34,136_rutile,Rh_Pd/,[001],0,0,Pd,1.43,3.55,4.33,0.89,ok
35,136_rutile,Rh_Pd/,[001],1,0,Rh,1.27,3.23,257.35,252.89,weird
36,136_rutile,Rh_Pd/,[100],0,0,Pd,1.32,3.39,4.42,0.84,ok
37,136_rutile,Rh_Pd/,[100],1,0,Rh,1,2.67,3.93,0.44,ok
38,136_rutile,Rh_Pd/,[101],0,0,Rh,1.01,3.11,4.15,0.87,ok
39,136_rutile,Rh_Pd/,[101],0,1,Pd,1.17,3.55,174.32,169.54,weird
40,136_rutile,Rh_Pd/,[110],0,0,Pd,1.06,3.4,4.31,1.11,ok
41,136_rutile,Rh_Pt/,[001],0,0,Pt,1.12,3.13,4.08,0.78,ok
42,136_rutile,Rh_Pt/,[001],1,0,Rh,1.13,2.81,4.05,0.45,ok
43,136_rutile,Rh_Pt/,[100],0,0,Pt,0.59,2.48,3.59,0.66,ok
44,136_rutile,Rh_Pt/,[100],1,0,Rh,0.75,2.54,4.08,0.56,ok
45,136_rutile,Rh_Pt/,[101],0,0,Rh,0.82,2.77,3.92,0.72,ok
46,136_rutile,Rh_Pt/,[101],0,1,Pt,0.59,2.8,3.88,0.98,ok
47,136_rutile,Rh_Pt/,[110],0,0,Pt,0.61,2.6,326.6,322.77,weird
48,136_rutile,Ti_Pd/,[001],0,0,Pd,1.37,3.48,4.04,0.88,ok
49,136_rutile,Ti_Pd/,[001],1,0,Ti,283.39,4.22,,282.16,weird
50,136_rutile,Ti_Pd/,[100],0,0,Pd,1.24,3.42,4.59,0.95,ok
51,136_rutile,Ti_Pd/,[100],1,0,Ti,1.61,4.02,5.04,1.18,ok
52,136_rutile,Ti_Pd/,[101],0,0,Ti,1.34,3.9,4.98,1.33,ok
53,136_rutile,Ti_Pd/,[101],0,1,Pd,1.33,3.61,4.24,1.05,ok
54,136_rutile,Ti_Pd/,[110],0,0,Pd,1.22,3.41,4.34,0.96,ok
55,38_amm2,Mo_Ir,[001],0,0,Mo,1.24,2.95,4.53,0.48,ok
56,38_amm2,Mo_Ir,[001],0,1,Ir,0.86,2.58,3.85,0.49,ok
57,38_amm2,Mo_Ir,[100],0,0,Ir,0.49,2.24,3.37,0.52,ok
58,38_amm2,Mo_Ir,[100],0,1,Mo,1.33,3.1,4.57,0.54,ok
59,38_amm2,Mo_Ir,[101],0,0,Mo,1.65,3.79,5.14,0.91,ok
60,38_amm2,Mo_Tc,[001],0,0,Mo,0.81,1.53,4.21,1.45,ok
61,38_amm2,Mo_Tc,[001],0,1,Tc,0.79,1.69,4.29,1.37,ok
62,38_amm2,Mo_Tc,[100],0,0,Tc,1.05,1.69,4.21,1.29,ok
63,38_amm2,Mo_Tc,[100],0,1,Mo,0.74,2.01,4.18,0.94,ok
64,38_amm2,Mo_Tc,[101],0,0,Mo,1.02,2.85,406.05,401.97,weird
65,63_cmcm/,Mo_Ir,[001],0,0,Mo,1.35,2.86,4.61,0.52,ok
66,63_cmcm/,Mo_Ir,[001],0,1,Ir,0.95,2.53,3.87,0.35,ok
67,63_cmcm/,Mo_Ir,[101],0,0,Mo,1.68,3.41,4.7,0.5,ok
68,63_cmcm/,Mo_Ir,[110],0,0,Mo,1.15,2.98,4.67,0.6,ok
69,60_columbite/,Pd_Ir/,[001],0,0,Ir,0.57,2.23,3.73,0.43,ok
70,60_columbite/,Pd_Ir/,[001],0,1,Pd,1.17,3.47,4.41,1.07,ok
71,60_columbite/,Pd_Ir/,[100],0,0,Pd,1.1,3.4,182.38,177.75,weird
72,60_columbite/,Pd_Ir/,[100],1,0,Ir,0.47,1.79,3.46,0.44,ok
73,60_columbite/,Pd_Ir/,[101],0,0,Pd,0.76,2.29,3.83,0.31,ok
74,60_columbite/,Pd_Ir/,[101],0,1,Pd,1.67,3.95,4.47,1.05,ok
75,60_columbite/,Pd_Ir/,[110],0,0,Ir,0.53,1.76,3.44,0.45,ok
76,60_columbite/,Pd_Ir/,[110],0,1,Pd,1.39,3.56,4.19,0.94,ok
77,60_columbite/,Pd_Ir/,[110],1,0,Ir,0.99,2.89,4.14,0.67,ok
78,60_columbite/,Pd_Ir/,[110],1,1,Pd,1.21,3.64,4.34,1.2,ok
79,60_columbite/,Pd_Pt/,[001],0,0,Pt,0.6,2.77,3.85,0.94,ok
80,60_columbite/,Pd_Pt/,[001],0,1,Pd,1.07,3.35,4.2,1.05,ok
81,60_columbite/,Pd_Pt/,[100],0,0,Pd,1.01,3.26,4.24,1.02,ok
82,60_columbite/,Pd_Pt/,[100],1,0,Pt,0.64,2.67,3.87,0.8,ok
83,60_columbite/,Pd_Pt/,[101],0,0,Pt,297.19,3.11,304.63,300.29,weird
84,60_columbite/,Pd_Pt/,[101],0,1,Pd,297.85,3.61,305.29,300.45,weird
85,60_columbite/,Pd_Pt/,[110],0,0,Pt,0.89,2.7,3.6,0.58,ok
86,60_columbite/,Pd_Pt/,[110],0,1,Pd,1.28,3.59,4.37,1.08,ok
87,60_columbite/,Pd_Pt/,[110],1,0,Pt,1.25,3.57,4.27,1.09,ok
88,60_columbite/,Pd_Pt/,[110],1,1,Pd,1.38,3.76,4.36,1.15,ok
89,60_columbite/,Rh_Pd/,[001],0,0,Pd,1.18,3.46,4.25,1.05,ok
90,60_columbite/,Rh_Pd/,[001],0,1,Rh,1.1,3.15,4.16,0.82,ok
91,60_columbite/,Rh_Pd/,[100],0,0,Rh,1.12,2.75,4.02,0.4,ok
92,60_columbite/,Rh_Pd/,[100],1,0,Pd,1.17,3.45,172.58,167.9,weird
93,60_columbite/,Rh_Pd/,[101],0,0,Pd,1.2,3.34,310.1,305.53,weird
94,60_columbite/,Rh_Pd/,[101],0,1,Rh,302.66,2.69,310.1,306.18,weird
95,60_columbite/,Rh_Pd/,[110],0,0,Pd,1.31,3.55,313.28,308.5,weird
96,60_columbite/,Rh_Pd/,[110],0,1,Rh,1.13,2.76,4,0.4,ok
97,60_columbite/,Rh_Pd/,[110],1,0,Pd,1.96,3.86,4.62,0.73,ok
98,60_columbite/,Rh_Pd/,[110],1,1,Rh,1.92,3.91,316.83,311.69,weird